à		Vit, I, E
thẩm lậu		Vit
thẩm mĩ		Vit
thẩm mỹ		Vit
thẩm phán		N, Ng
thẩm quyền		N
thẩm thấu		Vit
thẩm tra		Vt
thẩm vấn		Vt
thẩm xét		Vt
thẫm		Aa
thấm		Vt
thấm đượm		Vt
thấm nhuần		Vt
thấm tháp		Vit
thấm thía		Vt
thấm thoát		Aa
thấm thoắt		Aa
thậm		Jd
thậm cấp chí nguy		Aa
thậm chí		Jd
thậm tệ		Aa
thậm thà thậm thụt		Vit
thậm thịch		Aa
thậm thọt		Vt
thậm thụt		Vt
thậm xưng		Vit
thân		N, Pa, Vit, Aa
thân ái		Aa
thân bại danh liệt		X
thân bằng cố hữu		Np
thân bằng quyến thuộc		Np
thân binh		N, Ng
thân cận		Aa
thân chinh		Vt, Aa
thân chủ		N, Ng
thân cô thế cô		X
thân củ		N, Ng
thân danh		N
thân hành		Aa
thân hào		N, Ng
thân hình		N, Ng
thân hữu		N
thân làm tội đời		X
thân mật		Aa
thân mẫu		N
thân mềm		N
thân mến		Aa
thân nhân		N, Ng
thân nhiệt		N
thân oan		Vit
thân phận		N
thân phụ		N, Ng
thân quyến		N, Ng
thân sĩ		N, Ng
thân sinh		Vt
thân sơ		Aa
thân tàn ma dại		X
thân thể		N, Ng
thân thế		N
thân thích		N, Ng
thân thiện		Aa
thân thiết		Aa
thân thuộc		N, Aa
thân thương		Aa
thân tín		Aa
thân tình		N, Aa
thân tộc		N, Ng
thân từ		N
thân vương		N, Ng
thân xác		N, Ng
thân yêu		Aa
thần		N, Aa
thần bí		Aa
thần bí hoá		Vit
thần chủ		N
thần chú		N, Ng
thần công		N
thần dân		N, Ng
thần diệu		Aa
thần dược		N, Ng
thần đồng		N
thần giao cách cảm		Np
thần hiệu		Aa
thần học		N
thần hôn		N
thần hồn		N
thần hồn nát thần tính		X
thần kì		Aa
thần kinh		N
thần kinh ngoại biên		N
thần kinh trung ương		N
thần kỳ		Aa
thần linh		N
thần lực		N
thần nông		N
thần phả		N
thần phục		Vt
thần quyền		N
thần sa		N
thần sắc		N
thần tài		N
thần thái		N
thần thánh		N, Ng, Aa
thần thánh hoá		Vit
thần thế		N, Aa
thần thoại		N
thần thông		Aa
thần tích		N
thần tiên		Aa
thần tình		Aa
thần tính		X
thần tốc		Aa
thần trí		N
thần tử		N
thần tượng		N
thần xác		N
thẩn thơ		Aa
thẫn thờ		Aa
thận		N, Ng
thận trọng		Aa
thấp		N, Aa
thấp cổ bé họng		X
thấp cổ bé miệng		X
thấp hèn		Aa
thấp kém		Aa
thấp khớp		N
thấp thoáng		Vit, Vt
thấp thỏm		Vitim
thập ác		N, Ng
thập cẩm		Aa
thập kỉ		N
thập kỷ		N
thập lục		N, Ng
thập niên		N
thập phân		Vit
thập phương		N
thập thành		Aa
thập thò		Vit
thập thõm		Aa
thập toàn		Aa
thập tử nhất sinh		X
thập tự chinh		N
thất		Vt
thất bại		N, Vit
thất bảo		N, Ng
thất bát		Vit
thất cách		Aa
thất chí		Aa
thất cơ		Vit
thất cơ lỡ vận		Vit
thất cử		Vit
thất đảm		Vit
thất đảm kinh hồn		Vit
thất điên bát đảo		Aa
thất đức		Vit
thất gia		N
thất hiếu		Vit
thất học		Aa
thất hứa		Vit
thất kinh		Vit
thất lạc		Vit
thất lễ		Vit
thất lộc		Vit
thất luật		Aa
thất nghiệp		Vit
thất ngôn		N
thất ngôn bát cú		X
thất niêm		Aa
thất phu		N
thất sách		Aa
thất sắc		Vit
thất sủng		Vit
thất tán		Vit
thất tha thất thểu		Vit, Aa
thất thanh		Aa
thất thân		Vit
thất thần		Vit
thất thế		Vit
thất thểu		Vit, Aa
thất thiệt		Vit
thất thiệt		Aa
thất thoát		Vt
thất thố		Aa
thất thu		Vit
thất thủ		Vit
thất thường		Aa
thất tiết		Vit
thất tín		Vit
thất tình		Aa
thất trận		Vit
thất truyền		Vit
thất ước		Vit
thất vọng		Vitim
thật		Aa, Jd, I
thật lực		Jd
thật ra		X
thật sự		Aa
thật tâm		N
thật thà		Aa
thật tình		N
thâu		N, Vt, Aa
thâu thái		Vt
thâu tóm		Vt
thầu		Vt
thầu dầu		N, Ng
thầu khoán		N, Ng
thẩu		N, Ng
thấu		Vt, Aa
thấu đáo		Aa
thấu hiểu		Vt
thấu kính		N, Ng
thấu suốt		Vt
thấu thị		Aa
thấu tình đạt lí		X
thấu tình đạt lý		X
thấu triệt		Vt, Aa
thây		N, Ng, Vt
thây kệ		Vt
thây lẩy		Aa
thây ma		N, Ng
thầy		N, Ng
thầy bà		N, Ng
thầy bói		N, Ng
thầy cả		N, Ng
thầy cãi		N, Ng
thầy chùa		N, Ng
thầy cò		N, Ng
thầy cúng		N, Ng
thầy dòng		N, Ng
thầy dùi		N, Ng
thầy địa		N, Ng
thầy địa lí		N, Ng
thầy địa lý		N, Ng
thầy đồ		N, Ng
thầy giáo		N, Ng
thầy giùi		N, Ng
thầy kí		N, Ng
thầy kiện		N, Ng
thầy ký		N, Ng
thầy lang		N, Ng
thầy mo		N, Ng
thầy pháp		N, Ng
thầy quyền		N
thầy số		N, Ng
thầy tào		N
thầy thợ		N, Ng
thầy thuốc		N, Ng
thầy thuốc nhân dân		N, Ng
thầy thuốc ưu tú		N, Ng
thầy tớ		N, Ng
thầy tu		N, Ng
thầy tướng		N, Ng
thẩy		Pn
thấy		Vt
thấy bà		X
thấy kinh		Vit
thấy mồ		X
thấy tháng		Vit
the		N, Aa
the thé		Aa
thè		Vt
thè lè		Vit, Aa
thẻ		N
thẻ bài		N, Ng
thẻ đỏ		N, Ng
thẻ ngà		N, Ng
thẻ vàng		N, Ng
thẽ thọt		Aa
thé		Aa
thèm		Vt, Vim, Vtim
thèm khát		Vt
thèm muốn		N, Vt
thèm nhạt		Vit
thèm thuồng		Vt
thèm vào		X
then		N, Ng, Vt, Aa
then chốt		N, Ng
thèn thẹn		Vitim
thẹn		Vitim
thẹn thò		Vitim, Aa
thẹn thùng		Vitim, Aa
theo		Vt
theo dõi		Vt
theo đòi		Vt
theo đóm ăn tàn		X
theo đuôi		Vt
theo đuổi		Vt
theo gót		Vt
theo rõi		Vt
theo voi ăn bã mía		X
thèo đảnh		Aa
thẻo		N, Vt
thẹo		N, Ng
thép		N, Ng
thép gang		Aa
thép hợp kim		N, Ng
thép không gỉ		N, Ng
thét		Vit, Jr
thét lác		Vit
theta		Np
thê đội		N, Ng
thê lương		Aa
thê nhi		N, Ng
thê thảm		Aa
thê thiếp		N, Ng
thê thiết		Aa
thê tử		N, Ng
thề		Vit
thề bồi		Vit
thề nguyền		Vit
thề sống thề chết		Vit
thề thốt		Vit
thề ước		Vit
thể		N, Vt
thể cách		N
thể chất		N
thể chế		N
thể diện		N
thể dục		N
thể dục chữa bệnh		N
thể dục dụng cụ		N
thể dục nhịp điệu		N
thể dục thẩm mĩ		N
thể dục thể hình		N
thể hiện		Vt
thể hình		N
thể lệ		N
thể loại		N
thể lực		N
thể nào		N
thể nghiệm		Vit
thể nhân		N
thể nhiễm sắc		N
thể nữ		N, Ng
thể phách		N
thể sợi		N
thể tài		N
thể tất		Vit
thể thao		N
thể theo		Vt
thể thống		N
thể thức		N
thể tích		N
thể tình		Vit
thể trạng		N
thể trọng		N
thể xác		N
thế		N, Pi, Vt, I
thế chấp		Vt
thế chiến		N
thế cục		N
thế cuộc		N
thế đạo		N
thế gia		N
thế gian		N
thế giới		Ng
thế giới quan		N
thế giới thứ ba		N
thế giới vi mô		N
thế giới vĩ mô		N
thế hệ		N
thế hiệu		N
thế kỉ		N
thế kỷ		N
thế là		Cc
thế lực		N
thế mà		Cc
thế mạng		Vit
thế nào		Pi
thế năng		N
thế phẩm		N
thế phiệt		N
thế ra		Cc
thế sự		N
thế tập		Vt
thế tất		Ja
thế thái nhân tình		Np
thế thần		N, Aa
thế thì		Cc
thế thường		N
thế tình		N
thế trận		N
thế tục		N, Aa
thế tử		N, Ng
thế vận		N
thế vận hội		N, Ng
thệ hải minh sơn		Vit
thệ sư		Vit
thếch		Jd
thêm		Vt
thêm bớt		Vt
thêm thắt		Vit
thềm		N, Ng
thềm lục địa		N, Ng
thênh thang		An
thênh thênh		An
thếp		N, Ng, Vt
thết		Vt
thết đãi		Vt
thêta		Np
thêu		Vt
thêu dệt		Vit
thêu thùa		Vit
thều thào		Vit, Aa
thi		Vt
thi ân		Vit
thi bá		N
thi ca		N, Ng
thi công		Vit
thi cử		Vit
thi đấu		Vt
thi đình		N, Ng
thi đua		Vt
thi gan		Vit
thi gan đấu trí		Vit
thi gan đọ sức		Vit
thi gia		N, Ng
thi hài		N, Ng
thi hành		Vt
thi hào		N, Ng
thi hội		N, Ng
thi hứng		N
thi hương		N, Ng
thi hữu		N, Ng
thi lễ		Vit
thi liệu		N, Ng
thi nhân		N, Ng
thi pháp		N, Ng
thi phẩm		N, Ng
thi phú		N, Ng
thi sĩ		N, Ng
thi tập		N, Ng
thi thể		N, Ng
thi thoảng		Jr
thi thố		Vt
thi thư		N
thi tứ		N
thi vị		N, Aa
thi vị hoá		Vt
thì		N, Cc, I
thì chớ		X
thì chớ kể		X
thì có		Aa
thì giờ		N
thì là		N, Ng
thì phải		X
thì ra		X
thì thà thì thầm		Vit, Aa
thì thà thì thụt		Vit
thì thào		Vit, Aa
thì thầm		Vit, Aa
thì thòm		Aa
thì thọt		Vit
thì thôi		X
thì thùng		Aa
thì thụt		Vit
thí		Vt
thí bỏ		Vt
thí dụ		N, Ng, Cc
thí điểm		Vit
thí mạng		Vit
thí nghiệm		N, Vt
thí sinh		N
thị		N
thị chính		N
thị dân		N, Ng
thị dục		N
thị giác		N
thị hiếu		N
thị hùng		Vit
thị lang		N, Ng
thị lực		N
thị nữ		N, Ng
thị oai		Vit
thị phạm		Vit
thị phần		N
thị phi		Vit, Aa
thị sảnh		N, Ng
thị sát		Vt
thị thành		N, Ng
thị thần		N
thị thực		Vt
thị tì		N, Ng
thị tộc		N
thị trấn		N
thị trường		N
thị trường		N
thị trường tiền tệ		N
thị trưởng		N, Ng
thị tứ		N
thị tỳ		N, Ng
thị uy		Vit
thị uỷ		N
thị vệ		N
thị xã		N, Ng
thia lia		Vit
thia thia		N, Ng
thìa		N, Ng
thìa cà phê		N, Ng
thìa canh		N, Ng
thìa là		N, Ng
thìa lìa		Aa
thích		Vt
thích		Vt, Vim, Vtim
thích chí		Aa
thích dụng		Aa
thích đáng		Aa
thích hợp		Aa
thích khách		N, Ng
thích nghi		Vt
thích thú		Vitim, Aa
thích ứng		Vt
thịch		Aa
thiếc		N, Ng
thiếc hàn		N, Ng
thiêm thiếp		Vit
thiểm		Aa
thiên		N, Vit, Vt
thiên bẩm		N
thiên biến vạn hoá		Vit
thiên binh thiên tướng		Aa
thiên can		N
thiên cầu		N
Thiên Chúa		Np
Thiên Chúa giáo		N
thiên chức		N
thiên cổ		N
thiên cơ		N
thiên cung		N
thiên cư		Vit
thiên di		Vit
thiên duyên		N
thiên đàng		N
thiên đầu thống		N
thiên địa		N, Ng
thiên địch		N
thiên đình		N
thiên đỉnh		N
thiên định		Vit
thiên đường		N
thiên hà		N
thiên hạ		Ng
thiên hình vạn trạng		Np
thiên hướng		N
thiên kỉ		N
thiên kiến		N
thiên kinh địa nghĩa		Np
thiên kỷ		N
thiên la địa võng		Np
thiên lệch		Aa
thiên lí		N
thiên lí mã		N
thiên lôi		N, Ng
thiên lương		N
thiên lý		N
thiên lý mã		N, Ng
thiên mệnh		N
thiên nga		N
thiên nhan		N
thiên nhiên		N
thiên niên kỉ		N
thiên niên kiện		N
thiên niên kỷ		N
thiên phú		Aa
thiên sứ		N
thiên tai		N
thiên tài		N
thiên táng		Vit
thiên tào		N
thiên tạo		Aa
thiên thạch		N, Ng
thiên thai		N
thiên thanh		N
thiên thần		N
thiên thẹo		Aa
thiên thể		N, Ng
thiên thời		N
thiên thu		N
thiên tính		N
thiên triều		N
thiên truỵ		N
thiên tuế		N
thiên tư		N, Vt
thiên tử		N, Ng
thiên tướng		N
thiên uy		N
thiên văn		N
thiên văn học		N
thiên vị		Vt
Thiên Vương Tinh		Np
thiền		N, Vit
thiền định		Vit
thiền môn		N
thiền sư		N
thiền tông		N
thiển cận		Aa
thiển kiến		N
thiển nghĩ		Vt
thiển ý		N
thiến		Vt
thiện		Aa
thiện cảm		N
thiện chí		N
thiện chiến		Aa
thiện nam tín nữ		N, Ng
thiện nghệ		Aa
thiện tâm		N
thiện xạ		Aa
thiện ý		N
thiêng		Aa
thiêng liêng		Aa
thiếp		N, Ng, Vit
thiếp danh		N, Ng
thiệp		N, Ng, Aa
thiệp liệp		Vt
thiết		Vt, Aa
thiết bì		Aa
thiết bị		N, Ng, Vt
thiết bị đầu cuối		N, Ng
thiết bị hiển thị		N, Ng
thiết bị ngoại vi		N, Ng
thiết chế		N
thiết cốt		Aa
thiết diện		N
thiết dụng		Aa
thiết đãi		Vt
thiết đoàn		N
thiết đồ		N
thiết giáp		N, Ng
thiết giáp hạm		N, Ng
thiết kế		Vt
thiết lập		Vt
thiết mộc		N
thiết nghĩ		Vt
thiết quân luật		Vit
thiết tha		Aa
thiết thạch		Aa
thiết thân		Aa
thiết thực		Aa
thiết tưởng		Vt
thiết yếu		Aa
thiệt		Aa, Jd, I
thiệt hại		N, Aa
thiệt hơn		Aa
thiệt mạng		Vit
thiệt thà		Aa
thiệt thân		Vit
thiệt thòi		N, Aa
thiêu		Vt
thiêu đốt		Vt
thiêu hoá		Vt
thiêu huỷ		Vt
thiêu thân		N, Ng
thiều quang		N
thiểu não		Aa
thiểu năng		N
thiểu số		N
thiếu		Vt, Aa
thiếu điều		X
thiếu đói		Vit
thiếu gì		X
thiếu hụt		Aa
thiếu nhi		N
thiếu niên		N, Ng
thiếu nữ		N, Ng
thiếu phụ		N, Ng
thiếu sinh quân		N, Ng
thiếu sót		N
thiếu tá		N, Ng, N
thiếu thốn		Vt, Aa
thiếu thời		N
thiếu tướng		N, Ng
thiếu uý		N, Ng
thiếu vắng		Aa
thím		N, Ng
thìn		N, Vt
thinh không		N, Jt, Jr
thinh lặng		Aa
thinh thích		Vim
thình		Aa
thình lình		Jt
thình thịch		Aa
thỉnh		Vt
thỉnh cầu		Vt
thỉnh giảng		Aa
thỉnh giáo		Vt
thỉnh kinh		Vit
thỉnh nguyện		Vit
thỉnh thị		Vt
thỉnh thoảng		Jr
thính		N, Aa
thính giả		N, Ng
thính giác		N
thính lực		N
thính phòng		N, Ng
thịnh		Vit, Aa
thịnh đạt		Vit, Aa
thịnh hành		Aa
thịnh nộ		Vit
thịnh soạn		Aa
thịnh suy		Vit
thịnh tình		N
thịnh trị		Aa
thịnh vượng		Aa
thịt		N, Ng, Vt
thịt thà		N, Ng
thiu		Vit, Aa
thiu		Aa
thìu		N
thỉu		Vit
tho		Vit
thò		Vt
thò lò		N
thò lò		N, Vt
thỏ		N, Ng
thỏ đế		N, Ng
thỏ thẻ		Aa
thó		Vt
thọ		N, Vit
thọ chung		Vit
thọ đường		N, Ng
thọ giáo		Vit
thọ giới		Vit
thoa		N, Ng, Vt
thoả đáng		Aa
thoả hiệp		Vit
thoả mãn		Vt
thoả nguyện		Vit
thoả thê		Aa
thoả thích		Aa
thoả thuận		Vt
thoả thuận khung		N
thoả thuê		Aa
thoả ước		N
thoá mạ		Vt
thoai thoải		Aa
thoải		Aa
thoải mái		Aa
thoái		Vit, Vo
thoái		Vt
thoái bộ		Vit
thoái chí		Vit
thoái hoá		Vit
thoái hôn		Vit
thoái lui		Vit
thoái ngũ		Vit
thoái thác		Vt
thoái thủ		Vit
thoái trào		N
thoái vị		Vit
thoại		N, Vit
thoại kịch		N
thoán đoạt		Vit
thoán nghịch		Vit
thoang thoảng		Vt
thoảng		Vt
thoáng		N, Vt, Aa
thoáng đãng		Aa
thoáng khí		Aa
thoát		Vt
thoát li		Vit
thoát ly		Vit
thoát thai		Vit
thoát thân		Vit
thoát tục		Vit
thoát vị		Vit
thoát xác		Vit
thoát y vũ		N, Ng
thoạt		Jt
thoạt đầu		N
thoạt kì thuỷ		N
thoạt kỳ thuỷ		N
thoạt nhiên		Jt
thoạt tiên		N
thoăn thoắt		Aa
thoắng		Aa
thoắt		Aa
thóc		N, Ng
thóc gạo		N, Ng
thóc lúa		N, Ng
thóc mách		Vit
thọc		Vt
thọc gậy bánh xe	X	
thọc léc		Vit
thọc lét		Vit
thọc sâu		Vit
thoi		N, Ng, Vt
thoi loi		Aa
thoi thóp		Vit
thòi		Vit
thòi lòi		Vit
thỏi		N
thói		N
thói đời		N
thói phép		N
thói quen		N
thói thường		N
thói tục		N
thom thóp		Vt
thòm thèm		Vit
thỏm		Jd
thon		Aa
thon lỏn		Aa
thon thả		Aa
thon thót		Vit
thong dong		Aa
thong manh		Aa
thong thả		Aa
thòng		Vit
thòng lọng		N, Ng
thõng		N, Vit
thõng thẹo		Aa
thõng thượt		Aa
thóp		N, Ng, Vit
thọt		Aa, Jd
thô		Aa
thô bạo		Aa
thô bỉ		Aa
thô chế		Vt
thô kệch		Aa
thô lậu		Aa
thô lỗ		Aa
thô lố		Aa
thô sơ		Aa
thô tháp		Aa
thô thiển		Aa
thô tục		Aa
thồ		N, Vt
thổ		N, Vt
thổ âm		N
thổ canh		N
thổ cẩm		N
thổ công		N
thổ cư		N
thổ dân		N
thổ địa		N
thổ hào		N
thổ huyết		Vit
thổ lộ		Vt
thổ mộ		N
thổ mộc		N
thổ nghi		N
thổ ngơi		N
thổ ngữ		N
thổ nhưỡng		N
thổ nhưỡng học		N
thổ phỉ		N, Ng
thổ phục linh		N, Ng
thổ quan		N
thổ sản		N, Ng
thổ tả		N, Aa
thổ thần		N
thổ ti		N
Thổ Tinh		Np
thổ trạch		N
thổ trước		N
thổ tù		N, Ng
thổ ty		N
thố		N
thốc		Vit, Jd
thốc tháo		Jd
thộc		Jd
thôi		N
thôi		N, Vt, I, E
thôi miên		N, Vit
thôi nôi		Aa
thôi sơn		Aa
thôi thì		X
thôi thối		Aa
thôi thúc		Vt
thôi việc		Vit
thổi		Vit, Vt
thổi nấu		Vt
thổi ngạt		Vit
thổi phồng		Vt
thối		Vit, Aa
thối chí		Vit
thối hoắc		Aa
thối hoăng		Aa
thối hôn		Vit
thối nát		Aa
thối tai		N
thối tha		Aa
thối thây		Aa
thồm lồm		N
thôn		N, Ng, Nu
thôn dã		N
thôn dân		N
thôn nữ		N, Ng
thôn ổ		N
thôn quê		N, Ng
thôn tính		Vt
thôn trang		N, Ng
thôn trưởng		N, Ng
thôn xóm		N, Ng
thồn		Vt
thổn thức		Vit
thỗn thện		Aa
thốn		N, Vit
thộn		Aa
thông		N, Vt
thông bạch		N
thông báo		N, Vt
thông bệnh		N
thông cảm		Vit
thông cáo		N
thông cáo chung		N
thông dâm		Vit
thông dịch		Vt
thông dịch viên		N, Ng
thông dụng		Aa
thông điệp		N
thông đồng		Vt
thông đồng bén giọt		Aa
thông gia		N, Ng
thông gian		Vit
thông hành		N
thông hiểu		Vt
thông hiếu		Vt
thông hiệu		N
thông kim bác cổ		Aa
thông lại		N
thông lệ		N
thông lệnh		N
thông lưng		Vt
thông minh		Aa
thông ngôn		N, Vit
thông phán		N
thông phong		N
thông qua		Vt
thông số		N
thông suốt		Vit
thông sử		N
thông sức		Vt
thông tầm		Aa
thông tấn		Vit
thông tấn xã		N, Ng
thông thái		Aa
thông thạo		Vt
thông thoáng		Aa
thông thốc		Aa
thông thống		Aa
thông thuộc		Vt
thông thương		Vit
thông thường		Aa
thông tin		N, Vt
thông tin đại chúng		Vit
thông tin học		N
thông tín viên		N
thông tỏ		Vt
thông tri		N, Vt
thông tục		Aa
thông tuệ		Aa
thông tư		N
thống		N
thống chế		N
thống đốc		N
thống kê		N, Vt
thống kê học		N
thống khoái		Aa
thống khổ		Aa
thống lãnh		Vt
thống lí		N
thống lĩnh		Vt
thống lý		N
thống mạ		Vit
thống nhất		Vt, Aa
thống nhứt		Vt
thống soái		N
thống suất		Vt
thống sứ		N
thống thiết		Aa
thống trị		Vt
thống tướng		N, Ng
thộp		Vt
thốt		Vt, Jt
thốt nhiên		Jt
thốt nốt		N, Ng
thơ		N, Ng, Aa
thơ ấu		Aa
thơ ca		N, Ng
thơ dại		Aa
thơ lại		N
thơ liên hoàn		N, Ng
thơ mộng		Aa
thơ ngây		Aa
thơ phú		N, Ng
thơ thẩn		Aa
thơ thới		Aa
thơ trẻ		Aa
thờ		Vt
thờ cúng		Vt
thờ ơ		Vit, Aa
thờ phụng		Vt
thờ thẫn		Aa
thờ tự		Vit
thở		Vit
thở dài		Vit
thở dốc		Vit
thở hắt		Vit
thở phào		Vit
thở than		Vit
thớ		N
thớ lợ		Aa
thợ		N, Ng
thợ bạc		N, Ng
thợ bạn		N, Ng
thợ cả		N, Ng
thợ cạo		N, Ng
thợ đấu		N, Ng
thợ điện		N, Ng
thợ hồ		N, Ng
thợ máy		N, Ng
thợ mộc		N, Ng
thợ nề		N, Ng
thợ ngoã		N, Ng
thợ nguội		N, Ng
thợ rào		N, Ng
thợ rèn		N, Ng
thợ săn		N, Ng
thợ thủ công		N, Ng
thợ thuyền		N, Ng
thời		N, Cc, I
thời bệnh		N
thời bình		N
thời buổi		N
thời chiến		N
thời cơ		N
thời cục		N
thời cuộc		N
thời đại		N, Aa
thời đại đồ đá		N
thời đại đồ đồng		N
thời đại đồ sắt		N
thời đàm		Vit
thời điểm		N
thời giá		N
thời gian		N
thời gian biểu		N
thời gian phân chia		N
thời gian thực		N
thời giờ		N
thời hạn		N
thời hiệu		N
thời khắc		N
thời khắc biểu		N
thời khí		N
thời khoá biểu		N
thời kì		N
thời kỳ		N
thời lượng		N
thời sự		N, Aa
thời thế		N
thời thượng		N
thời tiết		N
thời trang		N
thời vận		N
thời vụ		N
thơm		N, Vt, Aa
thơm lây		Aa
thơm lừng		Aa
thơm lựng		Aa
thơm ngát		Aa
thơm nức		Aa
thơm phức		Aa
thơm phưng phức		Aa
thơm thảo		Aa
thơm tho		Aa
thơn thớt		Aa
thờn bơn		N
thớt		N
thu		N, Vt
thu ba		N
thu chi		Vit
thu dọn		Vt
thu dung		Vt
thu dụng		Vt
thu giữ		Vt
thu gom		Vt
thu hẹp		Vt
thu hình		N, Vit
thu hình		N
thu hoạch		N, Vt
thu hồi		Vt
thu hút		Vt
thu không		Vit
thu lôi		N
thu lu		Aa
thu lượm		Vt
thu mua		Vt
thu nạp		Vt
thu ngân		Vit
thu nhặt		Vt
thu nhận		Vt
thu nhập		N, Vit
thu nhập quốc dân		N
thu nhập thuần tuý		N
thu phân		N
thu phong		N
thu phục		Vt
thu quân		Vit
thu thanh		Vit
thu thập		Vt
thu tóm		Vt
thu va thu vén		Vit
thu vén		Vt
thu xếp		Vt
thù		N, Vt
thù địch		N, Vit
thù ghét		Vt
thù hằn		N, Vt
thù lao		N, Vit
thù lù		Aa
thù nghịch		Vt
thù oán		N, Vt, Vim, Vtim
thù tạc		Vit
thù tiếp		Vt
thù ứng		Vt
thủ		N, Vt
thủ bạ		N
thủ bút		N
thủ cấp		N
thủ chỉ		N
thủ công		N, Vit
thủ công nghiệp		N
thủ cựu		Aa
thủ dâm		Vit
thủ đoạn		N, Aa
thủ đô		N, Ng
thủ hạ		N, Ng
thủ hiểm		Vit
thủ hiến		N
thủ kho		N, Ng
thủ khoa		N
thủ lãnh		N, Ng
thủ lĩnh		N, Ng
thủ môn		N
thủ mưu		N
thủ phạm		N, Ng
thủ pháo		N, Ng
thủ pháp		N
thủ phận		Vit
thủ phủ		N, Ng
thủ quân		N, Ng
thủ quĩ		N
thủ quỹ		N
thủ thành		N
thủ thân		Vit
thủ thế		Vit
thủ thỉ		Vit
thủ thuật		N
thủ thư		N, Ng
thủ tiết		Vit
thủ tiêu		Vt
thủ trưởng		N, Ng
thủ túc		N
thủ tục		N
thủ từ		N
thủ tự		N
thủ tướng		N, Ng
thủ tướng phủ		N, Ng
thủ vĩ ngâm		N
thủ xướng		Vt
thú		N, Ng, Vit, Aa
thú dữ		N, Ng
thú nhận		Vt
thú phục		Vit
thú thật		Vit, Vt
thú thực		Vit, Vt
thú tính		N
thú tội		Vit
thú vật		N, Ng
thú vị		Vit, Aa
thú vui		N
thú y		N
thụ án		Vit, Va
thụ bệnh		Vit
thụ cảm		Vt
thụ động		Aa
thụ giáo		Vit, Va
thụ giới		Vit, Va
thụ hình		Vit, Va
thụ hưởng		Vta
thụ lí		Vt
thụ lý		Vt
thụ mệnh		Vt
thụ phấn		Vit
thụ phấn nhân tạo		N
thụ phong		Vit
thụ thai		Vit
thụ tinh		Vit
thụ tinh nhân tạo		N
thua		Vtc
thua chị kém em		Vitc
thua kém		Vtc
thua lỗ		Vit
thua thiệt		Vit
thùa		Vt
thủa		N
thuần		Jd, Aa
thuần chất		Aa
thuần chủng		Aa
thuần dưỡng		Vt
thuần hậu		Aa
thuần hoá		Vt
thuần khiết		Aa
thuần lí		Aa
thuần lý		Aa
thuần nhất		Aa
thuần phác		Aa
thuần phong		N
thuần phong mĩ tục		N
thuần phong mỹ tục		N
thuần phục		Vt
thuần thục		Aa
thuần tính		Aa
thuần tuý		Aa
thuẫn		N, Ng
thuận		Aa
thuận buồm xuôi gió		X
thuận cảnh		N
thuận chèo mát mái		X
thuận hoà		Aa
thuận lợi		N, Aa
thuận mua vừa bán		X
thuận tiện		Aa
thuận vợ thuận chồng		X
thuật		N, Vt
thuật ngữ		N
thuật sĩ		N, Ng
thuật số		N
thuật toán		N
thúc		Vt
thúc bá		N
thúc bách		Vit, Aa
thúc béo		Vit
thúc đẩy		Vt
thúc ép		Vt
thúc giục		Vt
thúc hối		Vt
thúc thủ		Vit
thục		N, Vt, Aa
thục địa		N
thục luyện		Aa
thục mạng		Jd
thục nữ		N, Ng
thuê		Vt
thuê bao		Vit
thuê mướn		Vt
thuế		N
thuế biểu		N
thuế doanh thu		N
thuế đinh		N
thuế giá trị gia tăng		N
thuế gián thu		N
thuế khoá		N
thuế má		N
thuế môn bài		N
thuế quan		N
thuế quan bảo hộ		N
thuế suất		N
thuế thân		N
thuế thu nhập		N
thuế trực thu		N
thuế trước bạ		N
thuế vụ		N
thui		Vit
thui chột		Aa
thui thủi		Aa
thúi		Vit, Aa
thụi		Vt
thum		N
thum thủm		Aa
thùm thụp		Aa
thủm		Aa
thun		N
thun lủn		An
thun thút		Aa
thung		N
thung dung		Aa
thung huyên		N
thung lũng		N, Ng
thung thăng		Aa
thung thổ		N
thùng		N, Ng
thùng đấu		N, Ng
thùng thình		Aa
thùng thùng		Aa
thùng xe		N, Ng
thủng		Aa
thủng thẳng		Aa
thủng thỉnh		Aa
thũng		N
thúng		N, Ng
thúng mủng		N, Ng
thúng thắng		Jd
thuốc		N, Ng, Vt
thuốc bắc		N, Ng
thuốc bổ		N, Ng
thuốc chén		N, Ng
thuốc cốm		N, Ng
